control branch bit logical arith datamov
0 2 0 7 0 48 
0 1 6 9 15 66 
0 5 7 0 2 129 
0 2 0 6 0 34 
0 1 0 1 3 42 
0 34 0 64 32 358 
0 152 0 60 0 1670 
0 0 0 2 4 24 
0 5 0 0 0 12 
0 4 2 5 4 63 
0 0 0 6 0 16 
0 3 2 2 0 87 
2 4 0 0 0 62 
0 20 1 13 152 189 
0 4 4 2 16 114 
0 1 0 0 2 12 
0 101 101 101 0 2034 
0 4 5 0 73 192 
0 3 6 19 116 431 
0 0 0 1 0 14 
0 6 2 0 6 86 
0 3 3 1 6 81 
0 210 0 0 460 1920 
0 1 0 4 4 20 
0 222 10 47 895 605 
0 4 1 0 2 53 
0 1 0 3 0 22 
0 73 1 28 1123 176 
0 0 0 0 0 18 
0 15 10 4 22 54 
0 1308 2067 718 2744 2700 
0 3 1 0 0 54 
0 4 1 0 0 41 
0 3 6 0 3 133 
0 3 3 0 41 160 
0 2 4 0 0 132 
0 2 4 0 0 138 
0 3 0 0 0 48 
0 2 0 0 0 38 
0 2 2 0 0 70 
0 2 3 0 6 75 
0 15 4 3 0 216 
0 1 0 1 4 17 
0 4 4 0 6 83 
0 2 2 0 0 56 
0 1 1 0 1 46 
0 1 0 0 0 0 
0 2 4 0 6 114 
0 4 0 0 0 72 
0 1 0 2 14 44 
0 292 341 106 548 734 
0 12 0 0 20 116 
0 0 0 0 0 0 
0 3 0 6 0 52 
0 0 0 0 0 6 
0 1 0 2 0 22 
0 7 9 12 32 306 
0 68 2 7 155 216 
0 6 0 1 0 42 
0 2 1 2 5 52 
0 12 0 0 4 150 
0 2 0 5 4 65 
0 10 0 1 6 57 
0 2 2 1 6 149 
0 3 1 4 0 27 
0 3 0 2 2 40 
0 3 0 1 0 20 
0 3 0 4 2 34 
0 4 7 0 0 87 
0 3 3 0 0 64 
0 4 3 6 8 87 
0 4 5 3 94 245 
0 0 0 0 4 20 
0 8 4 0 0 149 
0 3 2 4 0 68 
0 28 4 34 239 377 
0 7 4 6 24 144 
0 5 0 2 18 62 
0 2 0 1 0 18 
0 7 13 4 3 210 
0 5 0 2 2 50 
0 5 0 0 0 17 
0 1 0 0 0 18 
0 5 2 4 21 175 
0 0 0 0 0 0 
0 3 0 0 4 28 
0 2 2 0 68 108 
0 3 0 2 8 25 
0 0 0 0 0 16 
0 1 6 1 7 26 
0 46 40 46 130 198 
0 1 0 0 0 12 
6 46 14 20 48 750 
0 0 0 0 0 125 
0 8 2 16 0 133 
0 1 0 0 0 16 
0 15 3 0 65 210 
0 3 0 3 0 40 
0 20 1 11 96 16 
0 11 2 0 30 178 
0 1 0 0 0 6 
0 2 0 0 0 18 
0 5 2 1 0 80 
0 1 2 2 15 85 
0 1 0 0 0 22 
0 2 5 1 24 106 
0 1 0 0 32 102 
0 1 0 1 0 16 
0 2 2 9 6 50 
0 2 0 0 8 10 
0 27 6 12 48 265 
0 1 0 0 0 8 
0 3 9 0 10 49 
0 1 0 0 12 40 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 8 1 5 144 321 
0 22 2 9 42 320 
