segreg flgctrl inout string break cond shftrot decimal binary conver stack control branch bit logical arith datamov
0 0 0 1 0 0 0 0 0 0 6 0 2 0 7 4 28
0 0 0 1 0 0 0 0 0 0 5 0 1 0 36 7 44
0 0 0 1 0 0 0 0 0 0 12 4 1 0 0 3 22
0 0 0 1 0 0 0 0 0 0 6 0 2 0 4 4 12
0 0 0 1 0 0 0 0 0 0 6 0 1 0 2 4 19
0 0 0 1 0 0 0 0 0 0 21 16 1 0 16 34 99
0 0 0 1 0 0 0 0 0 0 6 0 137 0 60 184 247
0 0 0 1 0 0 0 0 0 0 4 0 2 0 0 3 6
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 5 9
0 0 0 1 0 0 0 0 0 0 6 0 1 0 3 4 24
0 0 0 1 0 0 0 0 0 0 4 0 3 0 0 2 4
0 0 0 1 0 0 0 0 0 0 6 0 2 0 1 3 7
0 0 0 1 0 0 0 0 0 0 13 1 1 0 0 5 24
0 0 0 1 0 0 0 0 0 0 6 2 1 0 0 4 18
0 0 0 1 0 0 0 0 0 0 8 0 1 0 3 6 24
0 0 0 1 0 0 0 0 0 0 8 0 1 0 0 4 8
0 0 0 1 0 0 0 0 0 0 105 0 2 0 202 104 1318
0 0 0 1 0 0 0 0 0 0 7 0 1 0 2 8 32
0 0 0 1 0 0 0 0 0 0 7 3 42 0 0 51 123
0 0 0 1 0 0 0 0 0 0 4 0 1 0 2 3 8
0 0 0 1 0 0 0 0 0 0 6 0 6 0 0 10 21
0 0 0 1 0 0 0 0 0 0 6 2 1 0 0 5 25
0 0 0 1 0 0 0 0 0 0 4 0 44 0 0 327 633
0 0 0 1 0 0 0 0 0 0 6 0 1 0 2 3 9
0 0 0 1 0 0 0 0 0 0 25 21 16 0 0 52 187
0 0 0 1 0 0 0 0 0 0 8 0 2 0 3 7 44
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 3 6
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 4 13
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 3 8
0 0 0 1 0 0 0 0 0 0 6 0 2 0 2 2 16
0 0 0 1 0 0 0 0 0 0 517 256 515 0 1 517 1810
0 0 0 1 0 0 0 0 0 0 5 1 5 0 1 5 26
0 0 0 1 0 0 0 0 0 0 4 0 5 0 2 2 14
0 0 0 1 0 0 0 0 0 0 8 1 1 0 0 4 29
0 0 0 1 0 0 0 0 0 0 8 2 1 0 1 8 46
0 0 0 1 0 0 0 0 0 0 6 2 1 0 0 12 37
0 0 0 1 0 0 0 0 0 0 6 2 1 0 0 12 39
0 0 0 1 0 0 0 0 0 0 8 3 1 0 0 5 20
0 0 0 1 0 0 0 0 0 0 6 2 1 0 0 5 16
0 0 0 1 0 0 0 0 0 0 6 2 1 0 0 7 27
0 0 0 1 0 0 0 0 0 0 6 2 1 0 0 4 25
0 0 0 1 0 0 0 0 0 0 17 9 1 0 3 22 48
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 3 7
0 0 0 1 0 0 0 0 0 0 6 1 1 0 0 6 30
0 0 0 1 0 0 0 0 0 0 5 1 1 0 0 4 6
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 4 25
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 6 1 1 0 0 7 36
0 0 0 1 0 0 0 0 0 0 8 4 1 0 4 8 26
0 0 0 1 0 0 0 0 0 0 6 1 1 0 1 7 20
0 0 0 1 0 0 0 0 0 0 84 20 2 0 2 2 44
0 0 0 1 0 0 0 0 0 0 4 0 3 0 0 2 4
